,0
Total_Trans_Ct,0.4374230614452026
Total_Revolving_Bal,0.2684671047689279
Total_Relationship_Count,0.1277248627488132
avg_txn_value,0.04745752245706396
monthly_spend,0.04726318938976701
Total_Ct_Chng_Q4_Q1,0.039420177624042825
Months_Inactive_12_mon,0.013152273542064346
Total_Amt_Chng_Q4_Q1,0.010764844758630404
Contacts_Count_12_mon,0.008326963265487677
CLIENTNUM,0.0
Customer_Age,0.0
Dependent_count,0.0
Avg_Open_To_Buy,0.0
Months_on_book,0.0
Credit_Limit,0.0
Avg_Utilization_Ratio,0.0
Total_Trans_Amt,0.0
tenure_months,0.0
spend_quintile,0.0
